name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,28181695,,,,,footway,1,120.8442206,31.1192863,,,
,1,91954138,motorway_junction,,,,motorway,0,120.6731714,31.2144344,,,
,2,91954664,,,,,motorway,0,120.711025,31.2195332,,,
,3,91954713,,,,,motorway,0,120.7259898,31.2219278,,,
,4,91954850,,,,,motorway,0,120.7552229,31.2286607,,,
,5,91954905,,,,,motorway,0,120.7656375,31.2319108,,,
,6,91954965,,,,,motorway,0,120.7838013,31.2465803,,,
,7,91955395,,,,,motorway,0,120.8129355,31.258431,,,
,8,91955851,,,,,motorway,0,120.8471139,31.2517804,,,
,9,91956228,,,,,motorway,0,120.8724298,31.2460724,,,
,10,91956287,,,,,motorway,0,120.8868415,31.2425109,,,
,11,91956496,,,,,motorway,0,120.9154471,31.228985,,,
,12,91956901,motorway_junction,,,,motorway,0,120.9613169,31.2201525,,,
,13,91956957,,,,,motorway,0,120.9621246,31.2201316,,,
,14,91957111,,,,,motorway,0,120.96276,31.2201193,,,
,15,91957136,,,,,motorway,0,120.9634828,31.2200996,,,
,16,265585109,,,,,primary,0,120.5424842,31.3083371,,,
,17,265585218,,,,,secondary,0,120.5446942,31.2977419,,,
,18,265585221,,,,,secondary,0,120.5143956,31.2967046,,,
,19,265588106,,,,,primary,0,120.572956,31.3036729,,,
,20,265588107,,,,,primary,0,120.5750546,31.2953211,,,
,21,265588154,,,,,primary,0,120.6040707,31.3067693,,,
,22,265588897,traffic_signals,,signal,,secondary,0,120.7917983,31.3355481,216,,
,23,265588898,,,,,primary,0,120.772756,31.3329131,,,
,24,265588904,,,,,primary,0,120.6866288,31.3270686,,,
,25,265589093,,,,,secondary,0,120.6652619,31.3233822,,,
,26,265596541,,,,,secondary,0,120.6136198,31.3355194,,,
,27,265596543,,,,,secondary,0,120.5942338,31.3316429,,,
,28,265596544,,,,,secondary,0,120.5915641,31.3335049,,,
,29,265596545,,,,,secondary,0,120.5899849,31.3321595,,,
,30,265596548,,,,,secondary,0,120.5831239,31.3344999,,,
,31,265596549,traffic_signals,,signal,,secondary,0,120.5812124,31.3407307,,,
,32,265596758,,,,,secondary,0,120.6214201,31.3035796,,,
,33,265596759,traffic_signals,,signal,,primary,0,120.6189904,31.3035097,3,,
,34,265596833,,,,,primary,0,120.6018624,31.3066102,,,
,35,265597514,,,,,tertiary,0,120.5525651,31.3020934,,,
,36,265597521,,,,,tertiary,0,120.5487922,31.3118336,,,
,37,265597523,,,,,secondary,0,120.5482719,31.315837,,,
,38,265597655,,,,,secondary,0,120.5572927,31.3167637,,,
,39,265597738,,,,,primary,0,120.5550756,31.3211585,,,
,40,265598196,,,,,secondary,0,120.5567179,31.3376028,,,
,41,265598197,,,,,secondary,0,120.5591477,31.3349331,,,
,42,265606538,,,,,trunk,0,120.484127,31.3237246,,,
,43,265606545,,,,,secondary,0,120.4640212,31.3235032,,,
,44,265606825,,,,,unclassified,1,120.4596933,31.3272779,,,
,45,265606827,,,,,unclassified,0,120.4605773,31.3272633,,,
,46,265606829,,,,,unclassified,1,120.4666972,31.3273386,,,
,47,265607030,,,,,secondary,0,120.5287695,31.3189981,,,
,48,265607033,,,,,primary,0,120.5411701,31.3202413,,,
,49,265607071,,,,,secondary,0,120.5418285,31.3157017,,,
,50,265607171,,,,,primary,0,120.5476406,31.3209949,,,
,51,265607174,,,,,secondary,0,120.5555382,31.2832587,,,
,52,265607217,,,,,primary,0,120.4510931,31.3129799,,,
,53,265607226,,,,,primary,0,120.4565004,31.2962962,,,
,54,265607240,,,,,tertiary,0,120.4720357,31.3028234,,,
,55,265607241,,,,,tertiary,0,120.4717783,31.3014666,,,
,56,265607357,,,,,tertiary,0,120.4601396,31.29524,,,
,57,265607693,,,,,tertiary,0,120.5578353,31.2928133,,,
