name,link_id,from_cell_id,to_cell_id,length,lanes,free_speed,capacity,geometry,allowed_uses,number_of_micro_link
,0,4789,4724,680.0473256609341,3.0,,,"LINESTRING (120.50235675 31.45270659, 120.50235675 31.44809247)",auto;bike;walk,2
,1,2438,2437,418.9116703900345,,,,"LINESTRING (120.56125311 31.30044059, 120.55389106 31.30044059)",auto;bike;walk,2
,2,2437,2438,418.9116703900345,,,,"LINESTRING (120.55389106 31.30044059, 120.56125311 31.30044059)",auto;bike;walk,2
,3,2437,2364,789.8146278355197,,,,"LINESTRING (120.55389106 31.30044059, 120.54652902 31.29582647)",auto;bike;walk,1
,4,2364,2437,789.8146278355198,,,,"LINESTRING (120.54652902 31.29582647, 120.55389106 31.30044059)",auto;bike;walk,1
,5,2432,2510,121.22984270985393,,,,"LINESTRING (120.51708084 31.30044059, 120.51708084 31.30505471)",auto;bike;walk,1
,6,2510,2432,121.22984270985393,,,,"LINESTRING (120.51708084 31.30505471, 120.51708084 31.30044059)",auto;bike;walk,1
,7,3202,3287,332.3664724593559,,,,"LINESTRING (120.78947651 31.34196768, 120.78947651 31.3465818)",auto;bike;walk,2
,8,3287,3367,564.9016428638665,,,,"LINESTRING (120.78947651 31.3465818, 120.78947651 31.35119592)",auto;bike;walk,1
,9,2757,2675,171.69636943213146,,,,"LINESTRING (120.55389106 31.31889707, 120.55389106 31.31428295)",auto;bike;walk,5
,10,2675,2757,171.69636943213146,,,,"LINESTRING (120.55389106 31.31428295, 120.55389106 31.31889707)",auto;bike;walk,5
,11,2675,2674,453.69009758847335,,,,"LINESTRING (120.55389106 31.31428295, 120.54652902 31.31428295)",auto;bike;walk,2
,12,2674,2675,453.69009758847335,,,,"LINESTRING (120.54652902 31.31428295, 120.55389106 31.31428295)",auto;bike;walk,2
,13,2674,2673,248.93830136592558,,,,"LINESTRING (120.54652902 31.31428295, 120.53916698 31.31428295)",auto;bike;walk,2
,14,2673,2674,248.93830136592558,,,,"LINESTRING (120.53916698 31.31428295, 120.54652902 31.31428295)",auto;bike;walk,2
,15,2910,2911,565.5101510258316,,,,"LINESTRING (120.45818448 31.32812532, 120.46554653 31.32812532)",auto;bike;walk,2
,16,2911,2910,565.5101510258316,,,,"LINESTRING (120.46554653 31.32812532, 120.45818448 31.32812532)",auto;bike;walk,2
,17,2826,2910,550.4888603157684,,,,"LINESTRING (120.46554653 31.3235112, 120.45818448 31.32812532)",auto;bike;walk,1
,18,2910,2826,550.4888603157683,,,,"LINESTRING (120.45818448 31.32812532, 120.46554653 31.3235112)",auto;bike;walk,1
,19,1828,1907,309.54886181317517,,,,"LINESTRING (120.56125311 31.26352762, 120.55389106 31.26814174)",auto;bike;walk,1
,20,1907,2060,591.7934828649074,,,,"LINESTRING (120.55389106 31.26814174, 120.55389106 31.27736998)",auto;bike;walk,1
,21,2060,2136,487.1046885615171,,,,"LINESTRING (120.55389106 31.27736998, 120.55389106 31.2819841)",auto;bike;walk,1
,22,2663,2586,260.29241049620174,,,,"LINESTRING (120.45082243 31.31428295, 120.45082243 31.30966883)",auto;bike;walk,2
,23,2586,2663,260.29241049620174,,,,"LINESTRING (120.45082243 31.30966883, 120.45082243 31.31428295)",auto;bike;walk,2
,24,2586,2503,460.19640927260104,,,,"LINESTRING (120.45082243 31.30966883, 120.45082243 31.30505471)",auto;bike;walk,2
,25,2503,2586,460.19640927260104,,,,"LINESTRING (120.45082243 31.30505471, 120.45082243 31.30966883)",auto;bike;walk,2
,26,2503,2427,284.25450415863935,,,,"LINESTRING (120.45082243 31.30505471, 120.45818448 31.30044059)",auto;bike;walk,1
,27,2427,2503,284.25450415863935,,,,"LINESTRING (120.45818448 31.30044059, 120.45082243 31.30505471)",auto;bike;walk,1
,28,2427,2354,723.2394198133742,,,,"LINESTRING (120.45818448 31.30044059, 120.45818448 31.29582647)",auto;bike;walk,1
,29,2354,2427,723.2394198133741,,,,"LINESTRING (120.45818448 31.29582647, 120.45818448 31.30044059)",auto;bike;walk,1
,30,2354,2049,2340.6340005426223,,,,"LINESTRING (120.45818448 31.29582647, 120.44346039 31.27736998)",auto;bike;walk,1
,31,2049,2354,2340.634000542622,,,,"LINESTRING (120.44346039 31.27736998, 120.45818448 31.29582647)",auto;bike;walk,1
,32,2505,2429,152.8384937590903,,,,"LINESTRING (120.47290857 31.30505471, 120.47290857 31.30044059)",auto;bike;walk,1
,33,2429,2505,152.8384937590903,,,,"LINESTRING (120.47290857 31.30044059, 120.47290857 31.30505471)",auto;bike;walk,1
,34,2429,2355,1158.8892031074688,,,,"LINESTRING (120.47290857 31.30044059, 120.46554653 31.29582647)",auto;bike;walk,1
,35,2355,2429,1158.889203107469,,,,"LINESTRING (120.46554653 31.29582647, 120.47290857 31.30044059)",auto;bike;walk,1
,36,2355,2354,423.7537316231645,,,,"LINESTRING (120.46554653 31.29582647, 120.45818448 31.29582647)",auto;bike;walk,1
,37,2354,2355,423.7537316231646,,,,"LINESTRING (120.45818448 31.29582647, 120.46554653 31.29582647)",auto;bike;walk,1
,38,2365,2366,296.28265381608844,1.0,,,"LINESTRING (120.55389106 31.29582647, 120.56125311 31.29582647)",auto;bike;walk,2
,39,2366,2295,100.14304005351197,1.0,,,"LINESTRING (120.56125311 31.29582647, 120.56125311 31.29121235)",auto;bike;walk,1
,40,1494,1552,368.4569984110544,,,,"LINESTRING (120.53916698 31.24045701, 120.53180493 31.24507113)",auto;bike;walk,1
,41,1552,1494,368.45699841105437,,,,"LINESTRING (120.53180493 31.24507113, 120.53916698 31.24045701)",auto;bike;walk,1
