name,cell_id,element,num_element,activity_type,ctrl_type,node_type,poi_id,x_coord,y_coord,boundary
,0,39936;63722,2,footway;footway,,,,120.29621948,31.09741925,"POLYGON ((120.29253846 31.09972631, 120.29990051 31.09972631, 120.29990051 31.09511219, 120.29253846 31.09511219, 120.29253846 31.09972631))"
,1,63666,1,residential,,,,120.30358153,31.09741925,"POLYGON ((120.29990051 31.09972631, 120.30726255 31.09972631, 120.30726255 31.09511219, 120.29990051 31.09511219, 120.29990051 31.09972631))"
,2,63515,1,primary,,,,120.37720198,31.09741925,"POLYGON ((120.37352096 31.09972631, 120.380883 31.09972631, 120.380883 31.09511219, 120.37352096 31.09511219, 120.37352096 31.09972631))"
,3,11896;11897;63514,3,residential;primary;primary,,,,120.40665016,31.09741925,"POLYGON ((120.40296914 31.09972631, 120.41033118 31.09972631, 120.41033118 31.09511219, 120.40296914 31.09511219, 120.40296914 31.09972631))"
,4,63360,1,primary,,,,120.42873629,31.09741925,"POLYGON ((120.42505527 31.09972631, 120.43241732 31.09972631, 120.43241732 31.09511219, 120.42505527 31.09511219, 120.42505527 31.09972631))"
,5,63767,1,primary,,,,120.43609835,31.09741925,"POLYGON ((120.43241732 31.09972631, 120.43977937 31.09972631, 120.43977937 31.09511219, 120.43241732 31.09511219, 120.43241732 31.09972631))"
,6,63359,1,secondary,,,,120.44346039,31.09741925,"POLYGON ((120.43977937 31.09972631, 120.44714141 31.09972631, 120.44714141 31.09511219, 120.43977937 31.09511219, 120.43977937 31.09972631))"
,7,63647,1,secondary,,,,120.46554653,31.09741925,"POLYGON ((120.4618655 31.09972631, 120.46922755 31.09972631, 120.46922755 31.09511219, 120.4618655 31.09511219, 120.4618655 31.09972631))"
,8,63740;63741,2,residential;footway,,,,120.59806334,31.09741925,"POLYGON ((120.59438231 31.09972631, 120.60174436 31.09972631, 120.60174436 31.09511219, 120.59438231 31.09511219, 120.59438231 31.09972631))"
,9,34066;63659;63739;63742,4,residential;tertiary;primary;primary,,,,120.60542538,31.09741925,"POLYGON ((120.60174436 31.09972631, 120.6091064 31.09972631, 120.6091064 31.09511219, 120.60174436 31.09511219, 120.60174436 31.09972631))"
,10,62142;63432;63836;63837,4,secondary;secondary;footway;footway,,,,120.61278742,31.09741925,"POLYGON ((120.6091064 31.09972631, 120.61646845 31.09972631, 120.61646845 31.09511219, 120.6091064 31.09511219, 120.6091064 31.09972631))"
,11,63635;63665,2,primary;primary,,,,120.62014948,31.09741925,"POLYGON ((120.61646845 31.09972631, 120.6238305 31.09972631, 120.6238305 31.09511219, 120.61646845 31.09511219, 120.61646845 31.09972631))"
,12,63744,1,secondary,,,,120.62751152,31.09741925,"POLYGON ((120.6238305 31.09972631, 120.63119254 31.09972631, 120.63119254 31.09511219, 120.6238305 31.09511219, 120.6238305 31.09972631))"
,13,63686,1,secondary,,,,120.64223561,31.09741925,"POLYGON ((120.63855459 31.09972631, 120.64591663 31.09972631, 120.64591663 31.09511219, 120.63855459 31.09511219, 120.63855459 31.09972631))"
,14,20108;63358;63636,3,secondary;secondary;tertiary,,,,120.64959766,31.09741925,"POLYGON ((120.64591663 31.09972631, 120.65327868 31.09972631, 120.65327868 31.09511219, 120.64591663 31.09511219, 120.64591663 31.09972631))"
,15,3865;20107;63361;63626,4,secondary;secondary;secondary;tertiary,,,,120.6569597,31.09741925,"POLYGON ((120.65327868 31.09972631, 120.66064072 31.09972631, 120.66064072 31.09511219, 120.65327868 31.09511219, 120.65327868 31.09972631))"
,16,63357;63625,2,tertiary;secondary,,,,120.66432174,31.09741925,"POLYGON ((120.66064072 31.09972631, 120.66800277 31.09972631, 120.66800277 31.09511219, 120.66064072 31.09511219, 120.66064072 31.09972631))"
,17,17771;17774;63332;63583;63586;63624;63743,7,secondary;secondary;primary;secondary;tertiary;tertiary;primary,,,,120.67168379,31.09741925,"POLYGON ((120.66800277 31.09972631, 120.67536481 31.09972631, 120.67536481 31.09511219, 120.66800277 31.09511219, 120.66800277 31.09972631))"
,18,17764;31295;33611;33612;61165;61166;63356;63513;63584;63585;63639;63640,12,tertiary;tertiary;tertiary;tertiary;tertiary;tertiary;motorway;motorway;unclassified;tertiary;tertiary;tertiary,,,,120.67904584,31.09741925,"POLYGON ((120.67536481 31.09972631, 120.68272686 31.09972631, 120.68272686 31.09511219, 120.67536481 31.09511219, 120.67536481 31.09972631))"
,19,31286;31290;63637;63638,4,secondary;secondary;secondary;tertiary,,,,120.68640788,31.09741925,"POLYGON ((120.68272686 31.09972631, 120.6900889 31.09972631, 120.6900889 31.09511219, 120.68272686 31.09511219, 120.68272686 31.09972631))"
,20,31281;31288;63628,3,secondary;primary;primary,,,,120.69376992,31.09741925,"POLYGON ((120.6900889 31.09972631, 120.69745095 31.09972631, 120.69745095 31.09511219, 120.6900889 31.09511219, 120.6900889 31.09972631))"
,21,31289;63512,2,secondary;secondary,,,,120.70113197,31.09741925,"POLYGON ((120.69745095 31.09972631, 120.70481299 31.09972631, 120.70481299 31.09511219, 120.69745095 31.09511219, 120.69745095 31.09972631))"
,22,63516;63523,2,primary;primary,,,,120.72321811,31.09741925,"POLYGON ((120.71953708 31.09972631, 120.72689913 31.09972631, 120.72689913 31.09511219, 120.71953708 31.09511219, 120.71953708 31.09972631))"
,23,63517,1,tertiary,,,,120.76739037,31.09741925,"POLYGON ((120.76370935 31.09972631, 120.7710714 31.09972631, 120.7710714 31.09511219, 120.76370935 31.09511219, 120.76370935 31.09972631))"
,24,12385;12479;12480;12481;63518;63520;63522;63524,8,secondary;tertiary;tertiary;tertiary;unclassified;tertiary;tertiary;tertiary,,,,120.77475242,31.09741925,"POLYGON ((120.7710714 31.09972631, 120.77843344 31.09972631, 120.77843344 31.09511219, 120.7710714 31.09511219, 120.7710714 31.09972631))"
,25,12478;63519,2,secondary;secondary,,,,120.78211447,31.09741925,"POLYGON ((120.77843344 31.09972631, 120.78579549 31.09972631, 120.78579549 31.09511219, 120.77843344 31.09511219, 120.77843344 31.09972631))"
