name,link_id,from_cell_id,to_cell_id,length,lanes,free_speed,capacity,geometry,allowed_uses,number_of_micro_link
,0,4303,4394,224.1179140914726,,,,"LINESTRING (-111.97622672 33.38769721, -111.97622672 33.38962261)",auto,6
,1,4394,4303,224.1179140914726,,,,"LINESTRING (-111.97622672 33.38962261, -111.97622672 33.38769721)",auto,6
,2,4394,4482,96.77901241189811,,,,"LINESTRING (-111.97622672 33.38962261, -111.97622672 33.39154801)",auto,4
,3,4482,4394,96.77901241189811,,,,"LINESTRING (-111.97622672 33.39154801, -111.97622672 33.38962261)",auto,4
,4,1744,1664,96.94887138686407,,,,"LINESTRING (-111.95631201 33.3260843, -111.95631201 33.32415889)",auto,2
,5,1664,1744,96.94887138686407,,,,"LINESTRING (-111.95631201 33.32415889, -111.95631201 33.3260843)",auto,2
,6,1580,1664,87.73623336092326,,,,"LINESTRING (-111.95631201 33.32223349, -111.95631201 33.32415889)",auto,1
,7,1664,1580,87.73623336092326,,,,"LINESTRING (-111.95631201 33.32415889, -111.95631201 33.32223349)",auto,1
,8,4573,4487,76.09791480218414,,,,"LINESTRING (-111.95631201 33.39347342, -111.95631201 33.39154801)",auto,2
,9,4487,4573,76.09791480218414,,,,"LINESTRING (-111.95631201 33.39154801, -111.95631201 33.39347342)",auto,2
,10,4399,4487,82.42575452431825,,,,"LINESTRING (-111.95631201 33.38962261, -111.95631201 33.39154801)",auto,2
,11,4487,4399,82.42575452431825,,,,"LINESTRING (-111.95631201 33.39154801, -111.95631201 33.38962261)",auto,2
,12,4308,4218,91.9814554201127,,,,"LINESTRING (-111.95631201 33.38769721, -111.95631201 33.3857718)",auto,2
,13,4218,4308,91.98145542011268,,,,"LINESTRING (-111.95631201 33.3857718, -111.95631201 33.38769721)",auto,2
,14,3512,3598,93.18252380690033,1.0,40.0,,"LINESTRING (-111.95631201 33.37036858, -111.95631201 33.37229398)",auto,4
,15,3598,3512,93.18252380690033,1.0,40.0,,"LINESTRING (-111.95631201 33.37229398, -111.95631201 33.37036858)",auto,4
,16,4954,4955,125.64052270043149,,,,"LINESTRING (-111.89656788 33.40117503, -111.89258494 33.40117503)",auto,2
,17,4955,4954,125.64052270043149,,,,"LINESTRING (-111.89258494 33.40117503, -111.89656788 33.40117503)",auto,2
,18,4954,4953,245.95829549048747,,,,"LINESTRING (-111.89656788 33.40117503, -111.90055082 33.40117503)",auto,3
,19,4953,4954,245.95829549048747,,,,"LINESTRING (-111.90055082 33.40117503, -111.89656788 33.40117503)",auto,3
,20,4953,4865,93.62228183048423,,,,"LINESTRING (-111.90055082 33.40117503, -111.90453376 33.39924962)",auto,1
,21,4865,4953,93.62228183048421,,,,"LINESTRING (-111.90453376 33.39924962, -111.90055082 33.40117503)",auto,1
,22,4865,4864,98.51201341935578,,,,"LINESTRING (-111.90453376 33.39924962, -111.9085167 33.39924962)",auto,1
,23,4864,4865,98.51201341935578,,,,"LINESTRING (-111.9085167 33.39924962, -111.90453376 33.39924962)",auto,1
,24,4864,4863,101.59880912085548,,,,"LINESTRING (-111.9085167 33.39924962, -111.91249964 33.39924962)",auto,3
,25,4863,4864,101.59880912085549,,,,"LINESTRING (-111.91249964 33.39924962, -111.9085167 33.39924962)",auto,3
,26,4863,4862,231.2984612934835,,,,"LINESTRING (-111.91249964 33.39924962, -111.91648259 33.39924962)",auto,2
,27,4862,4863,231.2984612934835,,,,"LINESTRING (-111.91648259 33.39924962, -111.91249964 33.39924962)",auto,2
,28,4956,4957,98.26618641602407,,,,"LINESTRING (-111.88860199 33.40117503, -111.88461905 33.40117503)",auto,1
,29,4957,4956,98.26618641602407,,,,"LINESTRING (-111.88461905 33.40117503, -111.88860199 33.40117503)",auto,1
,30,4951,4864,62.30921696716573,4.0,,,"LINESTRING (-111.9085167 33.40117503, -111.9085167 33.39924962)",auto,4
,31,4864,4951,62.30921696716573,2.0,,,"LINESTRING (-111.9085167 33.39924962, -111.9085167 33.40117503)",auto,4
,32,4865,4952,85.63070066318659,,,,"LINESTRING (-111.90453376 33.39924962, -111.90453376 33.40117503)",auto,3
,33,4952,4865,85.63070066318659,,,,"LINESTRING (-111.90453376 33.40117503, -111.90453376 33.39924962)",auto,3
,34,4857,4858,183.4797092171918,1.0,,,"LINESTRING (-111.9363973 33.39924962, -111.93241435 33.39924962)",auto,1
,35,4858,4857,183.4797092171918,1.0,,,"LINESTRING (-111.93241435 33.39924962, -111.9363973 33.39924962)",auto,1
,36,4858,4946,219.9873906294854,1.0,,,"LINESTRING (-111.93241435 33.39924962, -111.92843141 33.40117503)",auto,1
,37,4946,4858,219.9873906294854,1.0,,,"LINESTRING (-111.92843141 33.40117503, -111.93241435 33.39924962)",auto,1
,38,2561,2629,109.87137356556252,,,,"LINESTRING (-111.76114784 33.34533833, -111.76114784 33.34726373)",auto,2
,39,2629,2561,109.87137356556252,,,,"LINESTRING (-111.76114784 33.34726373, -111.76114784 33.34533833)",auto,2
,40,4483,4482,151.5847307086,1.0,40.0,,"LINESTRING (-111.97224378 33.39154801, -111.97622672 33.39154801)",auto,3
,41,4482,4483,151.58473070859998,1.0,40.0,,"LINESTRING (-111.97622672 33.39154801, -111.97224378 33.39154801)",auto,3
,42,1546,1459,146.34860856018886,,,,"LINESTRING (-111.76513079 33.32030809, -111.76513079 33.31838269)",auto,2
,43,1459,1546,146.34860856018886,,,,"LINESTRING (-111.76513079 33.31838269, -111.76513079 33.32030809)",auto,2
,44,1201,1115,152.1649070960623,,,,"LINESTRING (-111.76513079 33.31260648, -111.76513079 33.31068107)",auto,3
,45,1115,1201,152.1649070960623,,,,"LINESTRING (-111.76513079 33.31068107, -111.76513079 33.31260648)",auto,3
,46,1115,1033,68.53796791560562,,,,"LINESTRING (-111.76513079 33.31068107, -111.76513079 33.30875567)",auto,3
,47,1033,1115,68.53796791560562,,,,"LINESTRING (-111.76513079 33.30875567, -111.76513079 33.31068107)",auto,3
,48,1033,949,100.05618148364749,,,,"LINESTRING (-111.76513079 33.30875567, -111.76513079 33.30683027)",auto,3
,49,949,1033,100.05618148364749,,,,"LINESTRING (-111.76513079 33.30683027, -111.76513079 33.30875567)",auto,3
,50,3323,3241,99.55444169440771,2.0,,,"LINESTRING (-111.70538666 33.36459237, -111.70538666 33.36266696)",auto,3
,51,3241,3323,99.55444169440771,2.0,,,"LINESTRING (-111.70538666 33.36266696, -111.70538666 33.36459237)",auto,3
,52,3241,3164,94.3236152107007,,,,"LINESTRING (-111.70538666 33.36266696, -111.70538666 33.36074156)",auto,2
,53,3164,3241,94.3236152107007,,,,"LINESTRING (-111.70538666 33.36074156, -111.70538666 33.36266696)",auto,2
,54,3571,3658,140.70079255218002,,,,"LINESTRING (-111.7093696 33.37036858, -111.7093696 33.37229398)",auto,1
