name,cell_id,element,num_element,activity_type,ctrl_type,node_type,poi_id,x_coord,y_coord,boundary
,0,43956;43957;52101;52260,4,secondary;secondary;secondary;secondary,,,,-111.98020966,33.28372543,"POLYGON ((-111.98220113 33.28468813, -111.97821819 33.28468813, -111.97821819 33.28276272, -111.98220113 33.28276272, -111.98220113 33.28468813))"
,1,52103;52229,2,tertiary;tertiary,,,,-111.97622672,33.28372543,"POLYGON ((-111.97821819 33.28468813, -111.97423525 33.28468813, -111.97423525 33.28276272, -111.97821819 33.28276272, -111.97821819 33.28468813))"
,2,31909;31910;31911;31912;44677;46590;46903;46904;52100;52102,10,tertiary;tertiary;tertiary;tertiary;tertiary;tertiary;tertiary;tertiary;tertiary;tertiary,,,,-111.97224378,33.28372543,"POLYGON ((-111.97423525 33.28468813, -111.9702523 33.28468813, -111.9702523 33.28276272, -111.97423525 33.28276272, -111.97423525 33.28468813))"
,3,158;27616;27617;36843;36844;36847;52053;52093;52238;52239,10,tertiary;motorway;motorway;residential;residential;tertiary;motorway;motorway;motorway;motorway,,,,-111.96826083,33.28372543,"POLYGON ((-111.9702523 33.28468813, -111.96626936 33.28468813, -111.96626936 33.28276272, -111.9702523 33.28276272, -111.9702523 33.28468813))"
,4,15920;36845;36846,3,residential;residential;residential,,,,-111.96427789,33.28372543,"POLYGON ((-111.96626936 33.28468813, -111.96228642 33.28468813, -111.96228642 33.28276272, -111.96626936 33.28276272, -111.96626936 33.28468813))"
,5,10996;45629;52261,3,residential;secondary;secondary,,,,-111.96029495,33.28372543,"POLYGON ((-111.96228642 33.28468813, -111.95830348 33.28468813, -111.95830348 33.28276272, -111.96228642 33.28276272, -111.96228642 33.28468813))"
,6,25734,1,residential,,,,-111.95232907,33.28372543,"POLYGON ((-111.95432054 33.28468813, -111.95033759 33.28468813, -111.95033759 33.28276272, -111.95432054 33.28276272, -111.95432054 33.28468813))"
,7,36855;43552;43553;45585;45601;45602;45603;45604;52253;52254,10,secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary;secondary,,,,-111.89258494,33.28372543,"POLYGON ((-111.89457641 33.28468813, -111.89059346 33.28468813, -111.89059346 33.28276272, -111.89457641 33.28276272, -111.89457641 33.28468813))"
,8,32096;52174;52175,3,tertiary;tertiary;tertiary,,,,-111.88860199,33.28372543,"POLYGON ((-111.89059346 33.28468813, -111.88661052 33.28468813, -111.88661052 33.28276272, -111.89059346 33.28276272, -111.89059346 33.28468813))"
,9,32101;32107;47769;49586;50299;50300;50302;51974,8,residential;residential;tertiary;residential;residential;residential;residential;residential,,,,-111.88461905,33.28372543,"POLYGON ((-111.88661052 33.28468813, -111.88262758 33.28468813, -111.88262758 33.28276272, -111.88661052 33.28276272, -111.88661052 33.28468813))"
,10,28201;28202;32090;49585;50298;50301;52062;52306,8,residential;residential;residential;residential;residential;residential;residential;residential,,,,-111.88063611,33.28372543,"POLYGON ((-111.88262758 33.28468813, -111.87864464 33.28468813, -111.87864464 33.28276272, -111.88262758 33.28276272, -111.88262758 33.28468813))"
,11,15762;15763;28209;42499;42500;52024;52201;52211,8,residential;residential;residential;secondary;secondary;tertiary;secondary;secondary,,,,-111.87665316,33.28372543,"POLYGON ((-111.87864464 33.28468813, -111.87466169 33.28468813, -111.87466169 33.28276272, -111.87864464 33.28276272, -111.87864464 33.28468813))"
,12,5926;13930;23624;24772;52010;52023;52025;52041,8,residential;residential;tertiary;residential;residential;tertiary;tertiary;residential,,,,-111.87267022,33.28372543,"POLYGON ((-111.87466169 33.28468813, -111.87067875 33.28468813, -111.87067875 33.28276272, -111.87466169 33.28276272, -111.87466169 33.28468813))"
,13,1182;1183;1421;13857;14201;19321;23625;23626;28200;51888;51890;51936;51977,13,residential;residential;tertiary;residential;residential;tertiary;tertiary;residential;residential;residential;residential;residential;residential,,,,-111.86868728,33.28372543,"POLYGON ((-111.87067875 33.28468813, -111.86669581 33.28468813, -111.86669581 33.28276272, -111.87067875 33.28276272, -111.87067875 33.28468813))"
,14,15761;19756;26652;28199;51963;51979;51981;51983;51985;51986,10,residential;residential;residential;residential;residential;residential;tertiary;residential;residential;residential,,,,-111.86470434,33.28372543,"POLYGON ((-111.86669581 33.28468813, -111.86271287 33.28468813, -111.86271287 33.28276272, -111.86669581 33.28276272, -111.86669581 33.28468813))"
,15,4189;12256;13961;13962;15764;17661;35154;42547;42549;42650;47021;51926;52022;52203,14,tertiary;residential;residential;residential;residential;residential;tertiary;secondary;secondary;secondary;tertiary;residential;tertiary;secondary,signal,,,-111.8607214,33.28372543,"POLYGON ((-111.86271287 33.28468813, -111.85872993 33.28468813, -111.85872993 33.28276272, -111.86271287 33.28276272, -111.86271287 33.28468813))"
,16,7012;47019;47020;52202,4,tertiary;tertiary;tertiary;secondary,signal,,,-111.85673845,33.28372543,"POLYGON ((-111.85872993 33.28468813, -111.85474698 33.28468813, -111.85474698 33.28276272, -111.85872993 33.28276272, -111.85872993 33.28468813))"
,17,24775;25733;28171;47017;47018;52011,6,tertiary;tertiary;residential;tertiary;tertiary;residential,,,,-111.85275551,33.28372543,"POLYGON ((-111.85474698 33.28468813, -111.85076404 33.28468813, -111.85076404 33.28276272, -111.85474698 33.28276272, -111.85474698 33.28468813))"
,18,11602;28176;28177;28180;35869;47016;52158;52159,8,tertiary;residential;tertiary;residential;residential;tertiary;residential;residential,,,,-111.84877257,33.28372543,"POLYGON ((-111.85076404 33.28468813, -111.8467811 33.28468813, -111.8467811 33.28276272, -111.85076404 33.28276272, -111.85076404 33.28468813))"
,19,28175;47012;47013;47014;47015,5,residential;tertiary;tertiary;tertiary;tertiary,,,,-111.84478963,33.28372543,"POLYGON ((-111.8467811 33.28468813, -111.84279816 33.28468813, -111.84279816 33.28276272, -111.8467811 33.28276272, -111.8467811 33.28468813))"
,20,13898;32533;34738;42548;42550;42551;47007;47008;47009;47010;47011;48980;52204;52205,14,tertiary;tertiary;tertiary;primary;primary;primary;tertiary;tertiary;tertiary;tertiary;tertiary;tertiary;primary;primary,signal;signal,,,-111.84080669,33.28372543,"POLYGON ((-111.84279816 33.28468813, -111.83881522 33.28468813, -111.83881522 33.28276272, -111.84279816 33.28276272, -111.84279816 33.28468813))"
,21,34739;47006,2,tertiary;tertiary,,,,-111.83682375,33.28372543,"POLYGON ((-111.83881522 33.28468813, -111.83483227 33.28468813, -111.83483227 33.28276272, -111.83881522 33.28276272, -111.83881522 33.28468813))"
,22,32849;37612,2,motorway;tertiary,,,,-111.8328408,33.28372543,"POLYGON ((-111.83483227 33.28468813, -111.83084933 33.28468813, -111.83084933 33.28276272, -111.83483227 33.28276272, -111.83483227 33.28468813))"
,23,13897;26727;52051;52052;52120;52208,6,residential;motorway;motorway;motorway;motorway;motorway,,,,-111.82885786,33.28372543,"POLYGON ((-111.83084933 33.28468813, -111.82686639 33.28468813, -111.82686639 33.28276272, -111.83084933 33.28276272, -111.83084933 33.28468813))"
,24,35912;42603;42604;48340;48341;52118;52207,7,residential;secondary;secondary;secondary;secondary;secondary;secondary,,,,-111.82487492,33.28372543,"POLYGON ((-111.82686639 33.28468813, -111.82288345 33.28468813, -111.82288345 33.28276272, -111.82686639 33.28276272, -111.82686639 33.28468813))"
,25,50184;50185;50186;50187;50188;50189;50190;50191;50192,9,residential;residential;residential;residential;residential;residential;residential;residential;residential,,,,-111.82089198,33.28372543,"POLYGON ((-111.82288345 33.28468813, -111.81890051 33.28468813, -111.81890051 33.28276272, -111.82288345 33.28276272, -111.82288345 33.28468813))"
,26,13896;29975;29981;29982,4,residential;residential;residential;residential,,,,-111.81690904,33.28372543,"POLYGON ((-111.81890051 33.28468813, -111.81491756 33.28468813, -111.81491756 33.28276272, -111.81890051 33.28276272, -111.81890051 33.28468813))"
,27,29974;29985;29987;29988;31199;31200,6,residential;residential;residential;residential;residential;residential,,,,-111.81292609,33.28372543,"POLYGON ((-111.81491756 33.28468813, -111.81093462 33.28468813, -111.81093462 33.28276272, -111.81491756 33.28276272, -111.81491756 33.28468813))"
,28,3461;29990;47049;47050;48339;52282,6,tertiary;residential;tertiary;tertiary;tertiary;tertiary,,,,-111.80894315,33.28372543,"POLYGON ((-111.81093462 33.28468813, -111.80695168 33.28468813, -111.80695168 33.28276272, -111.81093462 33.28276272, -111.81093462 33.28468813))"
,29,8452;8453;37958;47056;47057;48338;52281,7,residential;tertiary;tertiary;tertiary;tertiary;tertiary;tertiary,,,,-111.80496021,33.28372543,"POLYGON ((-111.80695168 33.28468813, -111.80296874 33.28468813, -111.80296874 33.28276272, -111.80695168 33.28276272, -111.80695168 33.28468813))"
