name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,cell_id
,0,13266043,,,,,motorway,0,-111.9613752,33.3872759,,,,4307
,1,13266047,,,,,motorway,0,-111.9584674,33.3865284,,,,4217
,2,13275784,motorway_junction,,,,motorway,0,-111.8935067,33.3268385,,,,1759
,3,13275803,motorway_junction,,,,motorway,0,-111.8943766,33.3020914,,,,750
,4,13275804,motorway_junction,,,,motorway,0,-111.894391,33.2974145,,,,500
,5,13275814,,,,,motorway,0,-111.8943977,33.294904,,,,418
,6,13365836,,,,,motorway,0,-111.8911841,33.4336286,,,,6327
,7,13365838,,,,,motorway,0,-111.8928901,33.3799735,,,,3977
,8,17602665,turning_circle,,,,residential,1,-111.828214,33.3644328,,,,3292
,9,41190566,,,,,residential,0,-111.9765412,33.387129,,,,4303
,10,41190568,,,,,residential,0,-111.9765756,33.3887988,,,,4394
,11,41190571,,,,,residential,0,-111.9765326,33.3906908,,,,4482
,12,41190577,,,,,residential,0,-111.9557238,33.3258985,,,,1744
,13,41190578,,,,,residential,0,-111.9558869,33.3251814,,,,1744
,14,41190580,,,,,residential,0,-111.9560414,33.3244283,,,,1664
,15,41190588,turning_circle,,,,residential,0,-111.9567967,33.3229151,,,,1580
,16,41190591,turning_circle,,,,residential,0,-111.9568139,33.323704,,,,1664
,17,41190597,,,,,secondary,0,-111.9556206,33.3928475,,,,4573
,18,41190600,,,,,residential,0,-111.9556206,33.3923387,,,,4487
,19,41190606,,,,,residential,0,-111.9551399,33.3897087,,,,4399
,20,41190607,,,,,residential,0,-111.9551914,33.3904182,,,,4399
,21,41190610,,,,,residential,0,-111.9551828,33.3911491,,,,4487
,22,41190613,turning_circle,,,,residential,0,-111.9551571,33.3923244,,,,4487
,23,41190619,turning_circle,,,,residential,0,-111.9552746,33.3873886,,,,4308
,24,41190622,,,,,residential,0,-111.9552086,33.3865984,,,,4218
,25,41190628,,,,,residential,0,-111.9569264,33.3714005,,,,3598
,26,41190631,,,,,residential,0,-111.9564543,33.3720528,,,,3598
,27,41190644,,,,,residential,0,-111.9558304,33.3726506,,,,3598
,28,41190651,,,,,residential,0,-111.9581995,33.3707565,,,,3512
,29,41190654,,,,,residential,0,-111.9572792,33.3716094,,,,3598
,30,41190687,,,,,residential,0,-111.8962446,33.400612,,,,4954
,31,41190689,,,,,residential,0,-111.8944937,33.400612,,,,4955
,32,41190693,,,,,residential,0,-111.8936783,33.4006192,,,,4955
,33,41190698,,,,,residential,0,-111.892015,33.4006126,,,,4955
